1,100,228
2,150,300
3,140,350
4,200,1500
5,180,1600
6,180,800
7,150,300
8,120,250
9,150,228
10,140,250
11,170,300
12,170,350
1,200,250
2,300,250
3,200,400
4,150,2500
5,180,2451
6,140,1200
7,170,500
8,160,450
9,140,421
10,170,302
11,180,331
12,150,330
1,170,367
2,200,340
3,175,752
4,250,1950
5,250,2784
6,240,810
7,270,200
8,200,261
9,150,450
10,140,452
11,110,500
12,170,300
1,240,140
2,100,730
3,150,820
4,140,3000
5,165,3026
6,175,998
7,145,489
8,300,20
9,350,180
10,200,260
11,220,240
12,230,230
1,200,222
2,195,240
3,190,600
4,140,2751
5,110,3500
6,110,900
7,150,450
8,140,450
9,170,450
10,180,350
11,190,200
12,145,250
1,100,229
2,150,309
3,140,358
4,200,1570
5,180,1650
6,180,807
7,150,305
8,120,257
9,150,229
10,140,270
11,170,340
12,170,370
1,200,258
2,300,254
3,200,404
4,150,2550
5,180,2471
6,140,1270
7,170,505
8,160,450
9,140,421
10,170,302
11,180,331
12,150,330
1,170,367
2,200,340
3,175,752
4,250,1950
5,250,2784
6,240,810
7,270,200
8,200,261
9,150,450
10,140,452
11,110,500
12,170,300
1,240,140
2,100,730
3,150,820
4,140,3000
5,165,3026
6,175,998
7,145,489
8,300,20
9,350,180
10,200,260
11,220,240
12,230,230
1,200,222
2,195,240
3,190,600
4,140,2751
5,110,3500
6,110,900
7,150,450
8,140,450
9,170,450
10,180,350
11,190,200
12,145,250
